Designator,Mid X,Mid Y,Rotation,Layer
C383,53.88,-64.0,180.0,top
C384,66.5,-65.8,180.0,top
C385,198.32,-64.8,180.0,top
C386,21.52,-31.9,180.0,top
C387,93.38,-53.9,180.0,top
C388,75.12,-46.6,180.0,top
C389,83.9,-11.1,90.0,top
C390,97.3449,-79.7,180.0,top
C391,64.9,-11.78,90.0,top
C392,26.8,-13.3,90.0,top
C393,116.4753,-21.85,0.0,top
C394,113.6,-44.1,180.0,top
C395,99.0,-20.1,180.0,top
C396,45.9,-12.6,90.0,top
C397,59.0353,-25.2,0.0,top
C398,37.4,-48.1,180.0,top
C399,96.5,-37.3,180.0,top
C4,13.8,-61.2,0.0,top
C400,21.394858,-60.9,180.0,top
C401,30.05,-63.000001,90.0,top
C402,111.0,-61.1,180.0,top
C403,56.1,-47.4,180.0,top
C404,78.1753,-24.45,0.0,top
C405,240.0,-49.1,180.0,top
C406,202.6,-47.4,180.0,top
C407,162.4,-37.2,180.0,top
C408,199.2,-11.7,90.0,top
C409,218.32,-31.5,180.0,top
C410,145.22,-44.4,180.0,top
C411,215.28,-14.4,180.0,top
C412,161.5,-79.9,180.0,top
C413,148.0,-61.1,180.0,top
C414,237.7534,-26.744,0.0,top
C415,237.4,-13.4,90.0,top
C416,183.42,-46.7,180.0,top
C417,221.32,-48.3,180.0,top
C418,142.4884,-21.85,0.0,top
C419,180.2,-11.1,90.0,top
C420,199.6,-30.4,180.0,top
C421,165.6,-53.9,180.0,top
C422,159.9,-20.1,180.0,top
C423,179.48,-76.6,180.0,top
C424,180.7884,-24.45,0.0,top
C425,183.2353,-50.5,0.0,top
C426,189.2353,-50.5,0.0,top
C427,195.2353,-50.5,0.0,top
C428,201.2353,-50.5,0.0,top
C429,207.2353,-50.5,0.0,top
C430,213.2353,-50.5,0.0,top
C431,219.2353,-50.5,0.0,top
C432,225.2353,-50.5,0.0,top
C433,231.2353,-50.5,0.0,top
C434,237.2353,-50.5,0.0,top
C435,243.2353,-50.5,0.0,top
C436,249.2353,-50.5,0.0,top
C437,219.2353,-56.5,0.0,top
C438,213.2353,-56.5,0.0,top
C439,207.2353,-56.5,0.0,top
C440,201.2353,-56.5,0.0,top
C441,195.2353,-56.5,0.0,top
C442,189.2353,-56.5,0.0,top
C443,183.2353,-56.5,0.0,top
C444,177.2353,-56.5,0.0,top
C445,171.2353,-56.5,0.0,top
C446,165.2353,-56.5,0.0,top
C447,159.2353,-56.5,0.0,top
C448,153.2353,-56.5,0.0,top
C449,141.2353,-56.5,0.0,top
C450,135.2353,-56.5,0.0,top
C451,123.2353,-56.5,0.0,top
C452,117.2353,-56.5,0.0,top
C453,105.2353,-56.5,0.0,top
C454,99.2353,-56.5,0.0,top
C455,93.2353,-56.5,0.0,top
C456,87.2353,-56.5,0.0,top
C457,81.2353,-56.5,0.0,top
C458,75.2353,-56.5,0.0,top
C459,69.2353,-56.5,0.0,top
C460,63.2353,-56.5,0.0,top
C461,57.2353,-56.5,0.0,top
C462,51.2353,-56.5,0.0,top
C463,45.2353,-56.5,0.0,top
C464,39.2353,-56.5,0.0,top
C465,75.2353,-62.5,0.0,top
C466,81.2353,-62.5,0.0,top
C467,87.2353,-62.5,0.0,top
C468,93.2353,-62.5,0.0,top
C469,99.2353,-62.5,0.0,top
C470,105.2353,-62.5,0.0,top
C471,117.2353,-62.5,0.0,top
C472,123.2353,-62.5,0.0,top
C473,135.2353,-62.5,0.0,top
C474,141.2353,-62.5,0.0,top
C475,153.2353,-62.5,0.0,top
C476,159.2353,-62.5,0.0,top
C477,165.2353,-62.5,0.0,top
C478,171.2353,-62.5,0.0,top
C479,177.2353,-62.5,0.0,top
C480,183.2353,-62.5,0.0,top
C481,183.2353,-68.5,0.0,top
C482,177.2353,-68.5,0.0,top
C483,171.2353,-68.5,0.0,top
C484,165.2353,-68.5,0.0,top
C485,159.2353,-68.5,0.0,top
C486,153.2353,-68.5,0.0,top
C487,147.2353,-68.5,0.0,top
C488,141.2353,-68.5,0.0,top
C489,135.2353,-68.5,0.0,top
C490,129.2353,-68.5,0.0,top
C491,123.2353,-68.5,0.0,top
C492,117.2353,-68.5,0.0,top
C493,111.2353,-68.5,0.0,top
C494,105.2353,-68.5,0.0,top
C495,99.2353,-68.5,0.0,top
C496,93.2353,-68.5,0.0,top
C497,87.2353,-68.5,0.0,top
C498,75.2353,-68.5,0.0,top
C499,75.2353,-74.5,0.0,top
C5,17.3,-79.789136,0.0,top
C500,87.2353,-74.5,0.0,top
C501,93.2353,-74.5,0.0,top
C502,105.2353,-74.5,0.0,top
C503,111.2353,-74.5,0.0,top
C504,117.2353,-74.5,0.0,top
C505,123.2353,-74.5,0.0,top
C506,135.2353,-74.5,0.0,top
C507,141.2353,-74.5,0.0,top
C508,147.2353,-74.5,0.0,top
C509,153.2353,-74.5,0.0,top
C510,165.2353,-74.5,0.0,top
C511,171.2353,-74.5,0.0,top
C512,183.2353,-74.5,0.0,top
C514,189.2353,-80.5,0.0,top
C515,183.2353,-80.5,0.0,top
C516,177.2353,-80.5,0.0,top
C517,171.2353,-80.5,0.0,top
C518,165.2353,-80.5,0.0,top
C519,153.2353,-80.5,0.0,top
C520,147.2353,-80.5,0.0,top
C521,141.2353,-80.5,0.0,top
C522,135.2353,-80.5,0.0,top
C523,123.2353,-80.5,0.0,top
C524,117.2353,-80.5,0.0,top
C525,111.2353,-80.5,0.0,top
C526,105.2353,-80.5,0.0,top
C527,93.2353,-80.5,0.0,top
C528,87.2353,-80.5,0.0,top
C529,81.2353,-80.5,0.0,top
C530,75.2353,-80.5,0.0,top
C531,69.2353,-80.5,0.0,top
C532,93.2353,-86.5,0.0,top
C533,99.2353,-86.5,0.0,top
C534,105.2353,-86.5,0.0,top
C535,111.2353,-86.5,0.0,top
